Centre_ID,Centre_Title,Registration_Provider,Person_in_Charge,County,Maximum_Occupancy,Registration_Date,Registration_Conditions,Company_Directors,Chief_Inspector_Note,URL
8320,"Delta Birch","Delta Centre Company Limited by Guarantee","Pat Cass, Mairead Ronan O'Neill",Carlow,8,30-11-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 04/07/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Marie Gallagher,  Karl McDonagh,  John Brophy,  Anne Marie Lanigan,  Brigid Dunphy,  Seamus Conroy,  Terence Doyle,  Caroline Lennon-Nally,  Niall Kelly,  Aileen Broderick,  George Sothern",,https://www.hiqa.ie/areas-we-work/find-a-centre/delta-birch
4708,"Delta Evergreen","Delta Centre Company Limited by Guarantee","Mairead Ronan O'Neill",Carlow,10,15-02-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 30/10/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10","Marie Gallagher,  Karl McDonagh,  John Brophy,  Anne Marie Lanigan,  Brigid Dunphy,  Seamus Conroy,  Terence Doyle,  Caroline Lennon-Nally,  Niall Kelly,  Aileen Broderick,  George Sothern",,https://www.hiqa.ie/areas-we-work/find-a-centre/delta-evergreen
7990,"Delta Hazel","Delta Centre Company Limited by Guarantee","Pat Cass",Carlow,5,29-03-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 17/05/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Marie Gallagher,  Karl McDonagh,  John Brophy,  Anne Marie Lanigan,  Brigid Dunphy,  Seamus Conroy,  Terence Doyle,  Caroline Lennon-Nally,  Niall Kelly,  Aileen Broderick,  George Sothern",,https://www.hiqa.ie/areas-we-work/find-a-centre/delta-hazel
4706,"Delta Maples","Delta Centre Company Limited by Guarantee","Jennifer O' Leary",Carlow,10,12-06-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.","Marie Gallagher,  Karl McDonagh,  John Brophy,  Anne Marie Lanigan,  Brigid Dunphy,  Seamus Conroy,  Terence Doyle,  Caroline Lennon-Nally,  Niall Kelly,  Aileen Broderick,  George Sothern",,https://www.hiqa.ie/areas-we-work/find-a-centre/delta-maples
4712,"Delta Oaks","Delta Centre Company Limited by Guarantee","Nicola Woodgate",Carlow,3,01-02-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 04/07/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 3.","Marie Gallagher,  Karl McDonagh,  John Brophy,  Anne Marie Lanigan,  Brigid Dunphy,  Seamus Conroy,  Terence Doyle,  Caroline Lennon-Nally,  Niall Kelly,  Aileen Broderick,  George Sothern",,https://www.hiqa.ie/areas-we-work/find-a-centre/delta-oaks
5526,"Delta Willow","Delta Centre Company Limited by Guarantee","Nicola Woodgate",Carlow,9,12-06-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/12/2022 . The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 9.","Marie Gallagher,  Karl McDonagh,  John Brophy,  Anne Marie Lanigan,  Brigid Dunphy,  Seamus Conroy,  Terence Doyle,  Caroline Lennon-Nally,  Niall Kelly,  Aileen Broderick,  George Sothern",,https://www.hiqa.ie/areas-we-work/find-a-centre/delta-willow
3955,"Delvin Centre 1","Muiríosa Foundation","Louise Kelly",Westmeath,11,20-10-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 22/06/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 11.","Thomas Breen,  Brendan Broderick,  Annmarie Loughran,  Ed Farrell,  Kate Quinlan,  Mary Culliton,  Leslie Stevenson,  Jim O'Brien",,https://www.hiqa.ie/areas-we-work/find-a-centre/delvin-centre-1
3956,"Delvin Centre 2","Muiríosa Foundation","Louise Kelly",Westmeath,4,16-09-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/08/2014. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 4.","Thomas Breen,  Brendan Broderick,  Annmarie Loughran,  Ed Farrell,  Kate Quinlan,  Mary Culliton,  Leslie Stevenson,  Jim O'Brien",,https://www.hiqa.ie/areas-we-work/find-a-centre/delvin-centre-2
7483,"Delvin Centre 4","Muiríosa Foundation","Louise Kelly",Westmeath,2,28-01-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 05/09/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 2.","Thomas Breen,  Brendan Broderick,  Annmarie Loughran,  Ed Farrell,  Kate Quinlan,  Mary Culliton,  Leslie Stevenson,  Jim O'Brien",,https://www.hiqa.ie/areas-we-work/find-a-centre/delvin-centre-4-0
5327,"Dereen Services","Brothers of Charity Services Ireland CLG","Michelle Creaven",Galway,6,20-06-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/12/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 6.","Siobhan Allen,  Geraldine Larkin,  Noel Corcoran,  Anne Geraghty,  Evin Cusack,  Joseph Delahunty,  John O'Shea,  John O'Shea,  John Gerard Barry,  Augustine (Alfred) Thomas Hassett,  John Hayes,  Patrick McGinley",,https://www.hiqa.ie/areas-we-work/find-a-centre/dereen-services
7904,"Designated Centre 20","St John of God Community Services CLG","Leesa Page",Meath,3,10-11-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 27/04/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 3.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/designated-centre-20
5179,"Desmond Community Residential Houses","Brothers of Charity Services Ireland CLG","Elizabeth Mullane",Limerick,8,01-08-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 20/04/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Siobhan Allen,  Geraldine Larkin,  Noel Corcoran,  Anne Geraghty,  Evin Cusack,  Joseph Delahunty,  John O'Shea,  John O'Shea,  John Gerard Barry,  Augustine (Alfred) Thomas Hassett,  John Hayes,  Patrick McGinley",,https://www.hiqa.ie/areas-we-work/find-a-centre/desmond-community-residential-houses
1494,"Devon Lodge Services","Ability West","Christina O'Sullivan",Galway,5,07-04-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 06/09/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Shane Lynch,  Anna Lawless,  Ray Kelly,  Jack King,  Michael Finnerty,  Breda Dolan,  Kevin Newell",,https://www.hiqa.ie/areas-we-work/find-a-centre/devon-lodge-services
5621,"Dinan Lodge","Saint Patrick's Centre (Kilkenny)/trading as Aurora-Enriching Lives,  Enriching Communities","Ella Wosinska",Kilkenny,4,19-04-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 18/10/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Gerri (Geraldine) Wilson,  Rory O'Mahony,  Leslie Moynan,  Alex Clark,  Heidi Good,  John O'Dwyer,  Michael Hogan,  Kieron Kennedy,  Bill (William) Murphy,  Marian McDonald",,https://www.hiqa.ie/areas-we-work/find-a-centre/dinan-lodge
7971,Dolmen,"Brothers of Charity Services Ireland CLG","Anne Marie Organ Vaughan",Clare,1,08-03-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 18/01/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 1.","Siobhan Allen,  Geraldine Larkin,  Noel Corcoran,  Anne Geraghty,  Evin Cusack,  Joseph Delahunty,  John O'Shea,  John O'Shea,  John Gerard Barry,  Augustine (Alfred) Thomas Hassett,  John Hayes,  Patrick McGinley",,https://www.hiqa.ie/areas-we-work/find-a-centre/dolmen
5769,"Dolmen House 2","Barrow Valley Enterprise for Adult Members with Special Needs CLG","Cormac Noone",Carlow,4,28-04-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 20.10.2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Eileen Hennessy,  Elizabeth Roche,  Mary Foster,  Mary Jo Brennan,  Ann Sheehan,  Angela Nolan,  James Eric Brown,  John McDonnell,  Victor Treacy,  Brendan Coffey",,https://www.hiqa.ie/areas-we-work/find-a-centre/dolmen-house-2
3597,"Donabate Residential","St Michael's House","Antoinette Thompson",Dublin,6,01-09-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received dated 26/03/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/donabate-residential
7712,"Donabate Respite 1","St Michael's House","Liam Dowling",Dublin,6,28-11-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/05/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Persons aged 18 years or younger shall not be accommodated at the same time as persons aged 18 years or older.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/donabate-respite-1
2388,"Donabate Respite 2","St Michael's House","Audrey Corcoran",Dublin,6,24-11-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 20/04/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/donabate-respite-2
2456,"Donagh House (with Ros na Ri as a unit under this Designated Centre)","Health Service Executive","Dervla McKenna",Monaghan,11,14-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 27/07/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 11.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/donagh-house-ros-na-ri-unit-under-designated-centre
3440,"Donegal Cheshire Apartments","The Cheshire Foundation in Ireland","Karen Grant",Donegal,12,19-06-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 12.","Eileen Gormley,  Margaret Woods,  John Walsh,  Suzanne Crowe,  Ann-Marie Garbutt,  Fionnuala Murphy,  Carol O'Rourke,  Kieran Timmins,  Michael Haynes,  John Connellan,  Michael Bourke",,https://www.hiqa.ie/areas-we-work/find-a-centre/donegal-cheshire-apartments
5747,"Doon Accommodation Service","The Rehab Group","Claire O'Connor",Kerry,5,01-04-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 20/01/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","David Dalton,  Thomas Hunter McGowan,  Niall Wallace,  Ailis Quinlan,  Philip Burke,  Martin Kelly,  Kathleen Vickers,  Peter Rossiter,  Sean Sheridan,  Conor Whelan,  Aidan Walsh,  Michelle McGarry,  Rosemary Smyth,  Gillian McMahon,  Criona Cullen,  Fiona Hartley",,https://www.hiqa.ie/areas-we-work/find-a-centre/doon-accommodation-service
8489,"Downpatrick Residential Service","Western Care Association","Noreen Meredith",Mayo,1,24-05-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 1.","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Michael Prendergast,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/downpatrick-residential-service
8299,Downton,"GALRO Unlimited Company","Sharon Horrigan",Laois,5,02-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 22/06/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 5.","Joe Sheahan,  Bernadette Sheahan",,https://www.hiqa.ie/areas-we-work/find-a-centre/downton
7290,Dreamwood,"Nua Healthcare Services Limited","Erica Nolan",Waterford,5,19-08-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 31/01/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Joakim Lambotte,  Shane Kenny,  Alan Rosenbach,  Matthew Patrick,  Peter Moore,  Noel Dunne,  Niall Devereux",,https://www.hiqa.ie/areas-we-work/find-a-centre/dreamwood
5490,Dreenan,"Health Service Executive","Aidan Quinn",Donegal,5,06-11-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on the 21/06/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/dreenan
2671,"Drogheda Supported Accommodation","The Rehab Group","Charlene Spencer",Louth,5,09-10-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 29/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","David Dalton,  Thomas Hunter McGowan,  Niall Wallace,  Ailis Quinlan,  Philip Burke,  Martin Kelly,  Kathleen Vickers,  Peter Rossiter,  Sean Sheridan,  Conor Whelan,  Aidan Walsh,  Michelle McGarry,  Rosemary Smyth,  Gillian McMahon,  Criona Cullen,  Fiona Hartley",,https://www.hiqa.ie/areas-we-work/find-a-centre/drogheda-supported-accommodation
2652,Drombanna,"The Rehab Group","Thomas Healy",Limerick,5,17-09-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 24/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","David Dalton,  Thomas Hunter McGowan,  Niall Wallace,  Ailis Quinlan,  Philip Burke,  Martin Kelly,  Kathleen Vickers,  Peter Rossiter,  Sean Sheridan,  Conor Whelan,  Aidan Walsh,  Michelle McGarry,  Rosemary Smyth,  Gillian McMahon,  Criona Cullen,  Fiona Hartley",,https://www.hiqa.ie/areas-we-work/find-a-centre/drombanna
2531,"Drumboe Respite House","Health Service Executive","Tanya Hardiman",Donegal,5,27-11-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 22/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Persons aged 18 years or younger shall not be accommodated at the same time as persons aged 18 years or older.Condition 3The maximum number of persons that may be accommodated at the designated centre is 5.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/drumboe-respite-house
4919,Drumcooley,"Sunbeam House Services CLG","Lisa Dillon",Wicklow,2,30-04-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 05/02/2019. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 2.","John Downey,  Teresa Mc Nally,  Karen Kelly,  Miles Williams,  Niall Glynn,  Paul Brennan,  David Clarke,  Martin Wolohan,  Bernadette Ivers",,https://www.hiqa.ie/areas-we-work/find-a-centre/drumcooley
2602,"Drumiskabole Lodge","Health Service Executive","Klara Boles",Sligo,4,29-03-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 13.11.2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 4.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/drumiskabole-lodge
8239,"Drummond Lodge","Resilience Healthcare Limited","Sheila Fitzsimons",Monaghan,5,16-05-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Tom Smyth,  Brian Crowley,  Laura Keane",,https://www.hiqa.ie/areas-we-work/find-a-centre/drummond-lodge
